Text,Label
They shouldn't keep shitty people in a cooking competition for ratings. How about you focus on people who CAN ACTUALLY COOK?? #MKR,none
I'm thinking there is another round of instants coming  #mkr,none
Is there going to be a 4th group? #MKR,none
ASH IS BACK! #MKR,none
"Emma, we need to talk about that dress #MKR",none
They got through.....pity....The blonde butchers. Lyn and Tony nice ppl ....have left  #MKR,none
"#mkr #KillerBlondes don't get ahead of yourselves, you've only proved you're not the worst",none
"#MKR Those sausages look unlikable, do they even know what they are doing?!",none
RT @120dollarsfood: Of course they're going to stay. We hate them therefore they're a ratings winner. #MKR,none
Boonch? #MKR,none
Wooo Hooo!!!!! Ash and Camilla are back!!!! #MKR,none
"Kate and Nikki, meet Sherie and Emilie. Class, elegance and humility.  #mkr",none
Can someone explain to me how food is sassy? #mkr,none
"No girls....you really, really can't win this competition #MKR",none
RT @Nathan19871: It was rigged #MKR,none
#MKR Rigged! So so bloody rigged!!!,none
"@mykitchenrules that was a joke, bullshit scores #MKR",none
Lousy scoring Colin. It wasn't a mascapone sorbet dish it was lemon tart. #MKR,none
That was definitely rigged. #MKR,none
Oh yay. I am so glad I get to see more of these sass girls. #MKR #SarcasmTakenToTheNextLevel,none
#mkr a 7 for that dessert? colin has just lost all credibility,none
Hey Colin! You're a knob. #MKR,none
"Then again, no more animal print fisherman's pants, so win #MKR",none
"Just put them all in a ring, give them some boxing gloves, and watch it all play out from there. #MKR",none
Can they please not say 'sassy' anymore? #MKR,none
@mykitchenrules YESSSSSS #MKR #MKR2015,none
HOW DO YOU GIVE A 7 FOR A LEMONLESS LEMON TART?! #MKR,none
how can they be ur a mum and dad after 5 days at a dinner table honestly #mkr,none
Time to see these girls finally cook.... Sink or swim. Sassy won't save you #mkr @mykitchenrules,none
Are you kidding me Colin!! How did that spew on a plate get a 7 #mkr #mrk2015,none
Did they drug Colin's serving or...? #mkr,none
Good thing deconstructed only happens in food.  Imagine getting a deconstructed house #mkr,none
See you later Lynne and Tony- sending you our love! Good luck in the future #MKR,none
I kind of want to put a sock in Draskos mouth so he will stop talking #mkr,none
Not happy Jan! #mkr http://t.co/DAwPZvyLAp,none
RT @TheAngelaOfOz: That's bullshit Colin and you know it. #mkr,none
You did NOT come out with the sass. let's just make that clear #MKR,none
How the fuck did they manage that #MKR,none
RT @fee_bee_63: A 7? This bloke is utterly demented. #MKR,none
Still doesn't change the fact that you are a pair of airheads #MKR,none
Damn this means j have to see more of their faces #MKR #MKR2015,none
a definitive ruling: sherry and prawn cocktails are not competitive #MKR,none
This show is rigged #MKR,none
Of course they're going to stay. We hate them therefore they're a ratings winner. #MKR,none
"And a 7 for ""smear of lemon tart""???
#MKR",none
Out come the fingers and toes to do the counting. #MKR,none
Open both doors please. Wide load coming. #MKR,none
#MKR Fuck you Colin! That was total shite!,none
WTF!!! #MKR2015 #MKR,none
Oh no they're staying #mkr,none
How unfortunate... they're staying. #MKR,none
NOOOOOOOOOOOOO #MKR,none
Saved by the tail of a spatchcock #mkr #promogirls,none
I hate deconstructed deserts. You never even GET anything. It's like a fucking cheese platter #mkr,none
Sounds awful but Tony reminds me of Mr Creosote from The Meaning of Life #MKR #MKR2015,none
This is just ridiculous. #mkr Another 7 FFS.,none
Fuck. #MKR,none
7 for the main &amp; dessert. What the?  #MKR,none
"And somehow blonde triumphs again, bugger. #mkr",none
That's bullshit Colin and you know it. #mkr,none
RT @SweatyJester: Ya gots to sass it. #MKR http://t.co/VSYY9sM9hS,none
Handmade gnocchi for dinner. Frugii for dessert. My home made dinner is better than that #mkr dinner.,none
You have a tail??? #MKR,none
"A 7? for unboned spatchcock and instant couscous?
#MKR",none
"Tony has even crossed his tits

#MKR",none
RT @NewIdeamagazine: The moment of truth... Did the girls deliver on their promises? #mkr,none
BULLSHIT!!!! #MKR #MKR2015,none
They better have spatched their own cock. #MKR,none
A 7? This bloke is utterly demented. #MKR,none
"#mkr Boy, @FourinHandyou sure know how to dish out an insult ""your sausage was a little short of fat..."" Glad they weren't male contestants!",none
Preeetty easy to spot which houses are producer rentals #MKR #MKR2015,none
The bord? #MKR,none
The reason why Katie &amp; Nikki cooked the main was all in the name. #MKR,none
"@thecanvass_I've just been challenged to make this menu tomorrow night after commenting ""That's not hard, I could do better than that"". #MKR",none
U think they realize they need a total of 10 here?? #mkr,none
Someone really wants to keep them in #MKR,none
"FUCK YOU COLIN! 

#riot #moist #mkr",none
Colin fully channeling Edward Scissorhands tonight #MKR,none
I hate when my sausage is scored a 3 #mkr,none
There is NOTHING glamorous about that restaurant #MKR,none
Joe is looking hopeful. #MKR,none
just eat his dick already drasko #MKR,none
"I've been playing the ""sass"" word drinking game and I've managed to deconstruct myself #MKR",none
Apparently sass is what keeps you in the competition rather than the basic skill of cooking #mkr,none
"Collin admits that he is easily confused by a sausage.
#MKR",none
Your hotpot was...I don't know....gross #MKR,none
RT @narryyymate: Drasko and Steve are trying to impress Collin so bad #MKR,none
'Welcome to our instant restaurant Tacky..I mean Sassy' #mkr #katieandnikki,none
"RT @squishilicious: Ad break pet pic #mkr (not my tortoise tho. I had them as a kid, this is the cutest idea!) http://t.co/Djg5k1qnZI",none
Three is a low score. Good work Sherlock. #MKR,none
#MKR my guess. bottom 2 teams from each round are going back into instant restaurants. Just saying.,none
AHA BUT NO ONE ELSE DOES #MKR,none
#MKR makes much more sense when you realise it's not a cooking show,none
#catchup #MKR ok so I might be turning into my mother but isn't it a bit rude to wear your hat at the table?? #lovetheQldMatesanyway,none
"Colin: ""make moine a dooble."" #MKR",none
"It must wonderful to live in a delusional, surreal world where everything evolves around you. #MKR",none
shoulda named the restraunt #spastic #MKR,none
@mykitchenrules love how u have to where the same stuff on a different night #mkr,none
Have you two even thought about the way you acted through this round? #MKR Scores aren't surprising,none
After the 3/10 I'm actually hoping that lyn and tony go home #mkr,none
Nikki does NOT look happy with the group's score #mkr,none
The show is about cooking NOT SASS #MKR,none
@colonelkickhead but would they cook better than these terrible contestants? #mkr,none
If I hear the word sass one more time... &gt;.&gt; #mkr,none
@dumbadm1n Pete would love it! #mkr,none
RT @dcm81: #killerblondes ?? Have the producers lost the plot or have my eyes failed? In what universe are they even remotely hot in?? #MKR,none
Katie and Nikki should've called their restaurant Conceited not Sassy #mkr http://t.co/ucU0w6Sh5I,none
".@helloheliotrope show changes its name to ""your kitchen, my rules"" #MKR",none
"If Tony &amp; Lynn are eliminated, they should just burn the set like the house in What's Eating Gilbert Grape?
#mkr",none
Damn he liked it #MKR,none
Stop saying Sass #mkr,none
Was that just the girls voices on they add confirming that they didn't go home? Really? Again channel 7?? #MKR,none
Oh it's sas that keeps them in the competition. I thought it was cooking... silly me #MKR,none
"It's time to go.......

Rob's hat

#MKR",none
@mykitchenrules double elimination? Or a challenge elimination? #mkr,none
#thecockroachthatjustwontdie RT @bookshopaddict: Surprise announcement?  Another bloody instant restaurant round?  #mkr,none
runway?!?!?! 2 boxes put together by the looks of it! #MKR,none
Ok... Who should stay? And who should go? #MKR,none
"Meanwhile, the week one contestants have married, divorced, bought and sold houses.... #mkr",none
Surprise announcement. Drasko is actually Superman. Been dressed as Clark Kent for the whole show.  #MKR,none
I got it! They're bringing the slam dunk contest to #mkr,none
"RT @DanAndMaz: Katie &amp; Nikki from #MKR are on #DanAndMaz tomorrow, we want to find some more ""sexy butchers""... Know any @FourinHand?

@myk",none
Maybe there will be yet another secret round where Colin cooks off against Pete &amp; Manu &amp; the winner is declared the bigger dickhead #MKR,none
@squishilicious That would also be aces on a turtle. In water. :-) #MKR #PetsInAdBreaks,none
#MKR dying for the night when the special announcement involves the remaining teams eating the eliminated contestants.,none
Well done channel7 for NOT spoiling the big surprise announcement this week!!!!!!!!!! #mkr #MKR2015,none
Katie and Nikki better not get a point for every time they said 'we're pretty' #MKR,none
Hope the suprise isn't eliminated contestants get to cook off for a chance to return! #MKR,none
oh fuck im late!!! i missed stupid shit im sure! #MKR,none
I hope Colin doesn't like it #mkr,none
RT @Everestedup: Omg double elimination?! #MKR,none
Raining tens? More like raining bullshit because we all know no one can bloody cook! #MKR,none
In other news: the team I was rooting for last year just favourited my tweet. I'm not crying... you are. #mkr #AnnieAndJason,none
"pretty: adjective 1.) attractive in a delicate way without being truly beautiful.""a pretty little girl with an engaging grin"". Um, no. #mkr",none
"RT @finicalgal: ""We're off to a special location for this announcement. It's a warehouse with drapes and a stage. It screams 'special'.""
#M",none
#cankles #methteeth #mkr,none
It's #KillerBlondes vs Serengeti at sunset on #mkr,none
Holy crap they just wasted 55mins of prep time getting ready and still look the same! I hope their fall is spectacular!! #MKR,none
RT @maddotsu: Is #channel7 taking us for a ride. Back to back as breaks.  #MKR,none
Another surprise twist announcement... probably going to make everyone do another home cooking round because no one can cook. #MKR,none
I'm guessing a total of 51 for the sassy ones and the South Africans will be gonnnnne... As they should #MKR #chokers,none
"""The scores will not be revealed here""
*everyone acts surprised*

Yeah like you don't all know how it goes
#mkr",none
"@mykitchenrules If Katie and Nikki scored a point for every time they called them selves  pretty  they would score around 273,345 #mkr",none
Have a feeling the girls will stay. Just.  #MKR,none
No matter who goes home everyone is a winner for having to have dinner with Drasko on multiple occasions #MKR,none
And the next surprise announcement? The losers will all transition to @masterchefau #MKR,none
"Ad break pet pic #mkr (not my tortoise tho. I had them as a kid, this is the cutest idea!) http://t.co/Djg5k1qnZI",none
Lynn and Tony being so strategic and gave a 3. I think I'll give them a 5 #MKR,none
Why do they always look shocked when they reveal that the final team's score will be revealed at head quarters?? It happens every year  #MKR,none
Not convinced the #KillerBlondes on #MKR are all that. Or at least not what they talk themselves up to be. Here's the test! @mykitchenrules,none
RT @pommy_popsock: Skippy was NOT served up alleged deconstructed lemon tart in this photo. #MKR #PetsInAdBreaks http://t.co/x0SS5G70W7,none
Another ad. Seriously? #mkr,none
Next surprise will be: there is a second secret round taking place on Mars by the guys that are applying to go die on Mars! #MKR,none
That chicken thing is disgusting #mkr,none
#HowToGetAwayWithMurder? Serve raw #Spatchcock! #MKR #MKR2015,none
"To be fair to Katie &amp; Nikki, the combined group score is way too low compared to what they served up #MKR",none
Surprise announcement?  Another bloody instant restaurant round?  #mkr,none
Omg a secret location! #MKR,none
Discussion of the lemon Kurd adding nuance to the Middle East debate on #MKR,none
Look if the girls stay they won't win the comp anyway so... I dunno dun care #mkr,none
Aw there's nothing to cry about Lynn xx #MKR,none
#mkr another reality tv twist. please stop. look how this secret round turned out.,none
"""Someone is going home. Absolutely. It's in the production notes and is the premise of ""elimination round.""""
#MKR",none
"3, 4, 4 from me. Below average all over #MKR",none
RT @CattyKoala: #MKR I really think you owe us your viewers an apology.  This is a cooking show - right?,none
"I have absolutely no idea what the phrase ""saving room for dessert"" means.
#MKR #KillerBlondes ",none
"""We've proved we're not just the dumb blondes with pretty faces"". Whatevs. #MKR",none
OoOh what do you think is the surprise announcement? #MKR,none
"Hi ho, back to the dungeon we go! #mkr #MKR2015",none
Tony and Lynn wouldn't go so well on an old narrow TV. #Mkr,none
You have a face like a dropped pie lol #MKR,none
RT @Gary150iq: #MKR   Bye Bye Birdies........,none
Shock Horror #MKR,none
"Oh shut your gob Will, its hardly a surprise #MKR",none
Omg double elimination?! #MKR,none
#mkr so far deconstruction seems to also be happening on #TheBlock @TheBlock9 How abt constructing something?,none
RT @rayyyych: I want the blondes to meet the frizzy loud girl in the other group #mkr,none
RT @PatriceChienne: Drasco's doppelganger would be a more interesting conversationalist at a dinner party. #MKR http://t.co/UjgrXkEOed,none
I think a 3 is more than adequate. I don't want the Sif Ifrikans to go out. #MKR,none
RT @RobinRiedstra: Nobody likes a dry sausage. #MKR,none
"""I'd push for a 4.""
""I'm secretly in love with you but not ready to come out. I agree.""
#MKR",none
Spatchcock and couscous? Straight out of a  @Nigella_Lawson cookbook. #MKR,none
Solid average #mkr,none
Wait till you hear your scores butcher models #MKR,none
@amsatweet it's killing me #MKR,none
"So, have Katie and Nikki done enough to survive? What do you think? #mkr",none
lol the others have no knowledge about the promos #MKR,none
"""someone is going home, absolutely""
well, yes. #MKR",none
"""Proven how well we can really do"" Uhhh, what? #MKR",none
"RT @PatriceChienne: ""You confuse me, but in a good way"" #MKR http://t.co/Uq19q6PNAQ",none
"My little chickeny thing was fantastic, and you cook? #mkr",none
I think you've been estimated enough #mkr,none
The spatchcock and desert looked great 8/10 #MKR,none
I can't see how there was any real cooking in the main #MKR,none
It's Nikki's hot pot but she has Katie make the sausages #MKR,none
And double #Simpsons episode trumps #mkr,none
I agree with a 4 Will and Steve #mkr,none
"Call me crazy, but I like my food constructed. I wouldn't pay for a build it yourself dessert #MKR",none
The teams are so rough in their scoring girls deserve better #MKR,none
Obviously strategic voting!! #mkr,none
Emma Roberts?  #mkr,none
"""Chickeny thing"". Technical terminology here #mkr",none
RT @WittySam: Refined &amp; pretty? Looks like something a blind kindergarten student chucked on a plate. #MKR,none
"""You confuse me, but in a good way"" #MKR http://t.co/Uq19q6PNAQ",none
"RT @Imrealwill: If a white person eats a dessert and no one is around to Instagram it, did it even happen?
#KillerBlondes #MKR #MKR2015 ",none
I actually wouldn't mind a bit of strategic voting against this team... #MKR,none
RT @Shar_ryy: Surely we are being Punked #MKR,none
"Colin has the kid gloves on tonight, they must be the producer's favourites. They seem to like the dessert. What about the micro-herbs? #mkr",none
"RT @SeaEph: Lots of ppl willing to give u that 'punch' you're missing Colin

#MKR",none
I'm not saying Tony &amp; Lynn are definitely eliminated but the show has already booked a fork lift to take them home #MKR,none
"The deconstructed lemon tart, now being sold in flat pack from ikea.#mkr",none
"Drasko trying to use his fork to eat the breadcrumbs...

#mkr http://t.co/lS4y9U9TVZ",none
Nobody likes a dry sausage. #MKR,none
What does Colin and the rest of the table taste and see that we don't? I thought #KillerBlondes murdered their instant restaurant #MKR,none
I bet the blondes stay.....For Twitters entertainment ....;))) We all know they FAILED miserably ;)))) #MKR,none
Nikki...Kermit the frog called and he wants his voice back #MKR #MKR2015 #KillerBlondes @mykitchenrules,none
Turned the tele off. How did tinyteeth and spindle do in #MKR #MKR2015  ?,none
Colin can't taste the food if he hasn't got his eyes closed #mkr,none
Now I'm going to have to make a lemon tart next weekend #MKR http://t.co/vaEs1SfX30,none
These two are the Chloe and Kelly of the group #MKR,none
Is there an #MKR anonymous?,none
Surely we are being Punked #MKR,none
I'm not in the mood to watch #MKR tonight. Will watch the twitter posts to see who gets the boot.,none
They lost me at 'pink mason jars'. They've gotta go. #MKR,none
I'd send that deconstructed shit back #mkr,none
"I think Lynn and Tony might be in trouble. If they scrape through, it'll be because they are nicer than the blondes. #mkr",none
Do Drasko &amp; Bianca like anything? #MKR,none
Was the reference of not being an oil painting to the girls or the dessert #mkr,none
RT @jpthepower: Never eating at Nando's ever again. I've seen the old man add at least 107 times. I just can't #mkr #burrito,none
#mkr http://t.co/uXxoFqJ2cJ,none
Can these girls stop talking about how pretty they are?!! Who talks like that? #narcissisticmuch? #mkr,none
Can tomatoes are fine #MKR,none
Sorbet success! #mkr,none
"I can confuse you in an even better way, Colin. #MKR",none
I think that the silver lining is really lightning.  Wish the storm wold hurry up and blow them away #MKR,none
Deconstructed lemon tart #mkr http://t.co/0lVCVGN6fo,none
If my daughter had a yellow smear like that in her nappy I'd be rushing her to the doctor #mkr,none
I don't understand mean girls. And certainly not mean girls on Aussie television. #MKR #MKR2015,none
"""You confused me... in a good way,"" -is a that a compliment, Colin? Katie and Nikki think so! #mkr",none
They will make it because they add drama to the show. #mkr,none
Why is Colon being so nice? WHY? #MKR,none
gee they maybe should have put in lemon juice in the curd #mkr bye bye South Africans,none
To be fair opening a packet of chips confuses Colin so that isn't much of an achievement really #MKR,none
"""If we're at the bottom of the leaderboard, we're going home!"" CLEVER! #MKR",none
#mkr I wonder when these chicks will get their adult teeth?,none
"""Deconstructed"" means you don't have the skills to make it properly. #MKR",none
Now the rest of them can eat their melted sorbet #mkr,none
Abstract? It's kindergarten finger painting. #MKR,none
"Deconstructed Lemon Tart, it was a plate of crushed biscuit #MKR",none
"Lots of ppl willing to give u that 'punch' you're missing Colin

#MKR",none
#MKR is making me feel all stabby right now. #Sassy,none
Not enough Lemon in their lemon tart #MKR woops.,none
More like deconstructed lemon fart amirite #MKR,none
Tonight's #MKR is a classic example of ppl trying to do fancy prep without considering the actual eating of the dish. Fail for me!,none
It's not even pastry! #mkr,none
#MKR They think dessert will go down well? I think it'll come up just as well but more violently,none
#MKR learn how to open cans a baby knows that lol,none
"On presentation alone, these girls shouldnt even make the final judging. 2 of 3 looked like dog food #mkr",none
Those kisses on the mirror look like. ....cats arses #mkr,none
I think I just got turned off lemon tarts #MKR,none
#MKR   Bye Bye Birdies........,none
"Why ""deconstruct"" everything? How about learning to cook simple, good food first? And then stick with that. #mkr",none
'It was no oil painting' #mkr #theshade,none
These girls do not know sass. But they do seem to be serving a healthy dose of vanilla. #yawn #MKR,none
That really does look unappealing #MKR,none
Well he ate it all #MKR,none
"RT @immichaeldixon: Katie and Nikki, smug, vacuous, condescending, putrid, self congratulatory and bland. There. #MKR",none
"""@KathTonkin: My dog has vomited better meals than that #MKR"" mine as well, he even eats his own shit too.",none
RT @PatriceChienne: Trill on a plate with smooth stuff. Perfect for budgies with beak problems. #MKR,none
"The last time I saw that much blood on the table, I was watching Alien. #mkr",none
RT @Erin_Reimer: In what world would you not be disappointed with that? #MKR,none
Beans on toast for dinner tonight. Would score higher than tonight's menu for sure! #mkr #MKR2015,none
#mkr how do you actually eat that shit?,none
"I said I wanted sorbet now and they should tell us the menu prior, but she's got an even better idea, genius!! #MKR http://t.co/eSW23U0b2V",none
They look raw! How can they think that is cooked?? #MKR,none
RT @Rellielicious: Am I watching punk'd ? #MKR,none
Their restaurant is so TACKY #mkr,none
Oh dear god. This dining room. #MKR,none
"i'm happy when life hands me lemons. can't do shots of tequila with artichokes.
#MKR  #KillerBlondes",none
What do you think of dessert? #KillerBlondes #MKR,none
Are they on something? Seriously they must be huffing #MKR,none
Not sure how much more of this crap I can endure  #mkr,none
Drasko and Steve are trying to impress Collin so bad #MKR,none
Cannot wait for Colin's opinion of this dessert! @FourinHand @mykitchenrules #mkr #PromoGirls #colinskitchenrules #SecretRound,none
#MKR   Gimme a break boys.....,none
"#MKR Finally food I can relate to
#chevape #paprikash #wogfood #MKR2015",none
The dessert has been forgotten about already...... #MKR,none
"RT @TheFIXninemsn: That just happened, right? The catwalk?! The cat-bloody-walk?! #mkr",none
This boy at Coles looks uncomfortable #mkr,none
#MKR people watch this shit?? Fuck me dead!,none
"""How embarrassing"" is right . . . I would be embarrassed to be you two as well #MKR",none
"@DydeAmy but that's the thing, they clearly have skills, but waaaay monstrous egos as well #MKR",none
RT @fee_bee_63: What a surprise. mess on a plate #MKR,none
Her laugh is horrendous #MKR,none
Go girls #MKR,none
RT @keithwgreen: Colin..SHAMPOO YR HAIRRRRR #MKR,none
"@justimagine29 LOL this --&gt;  ""@TVWEEKmag: You walk by putting one foot in front of the other? Really? Amazing advice! #mkr""",none
RT @natpattherat &lt;&lt;&lt;as funny as a fart in an elevator : They have treated this lemon tart worse than Brandis did Triggs #MKR,none
"RT @jo_warne: Face palm face palm - the model show is cringy, i watch #mkr for the cooking!",none
RT @SueKennedy19: #MKR I would punch the chef in the face if they served me a dessert that looked like that- hard!!,none
"""It's refined and it's pretty. Like us!"" 

Seriously, someone get these girls English lessons, they have no idea what they're saying. #MKR",none
I wish people would stop deconstructing desserts! #MKR,none
"RT @PaulyPMC: I object to any food item that rhymes with ""turd"" #MKR",none
I'm amazed that #mkr could actually find a tweet of mine acceptable for television ... Clearly there's not enough swearing! #fuck,none
Those that talk the most crap always end up doing bad #MKR,none
Oh so pastry and Kurd on the side #mkr,none
"Will reveals he once done some Modelling, as well as being a body double in a porno. #MKR http://t.co/mWHNWNWd4Z",none
"Katie and Nikki, smug, vacuous, condescending, putrid, self congratulatory and bland. There. #MKR",none
"Yep, they are just as pretty as that plate. All the pieces are there, just not put together properly #MKR",none
the afghan bowlers serve up better shit than this garbage on @mykitchenrules #MKR #notevengoodsorts,none
RT @finicalgal: The deconstructed lemon tart looks pretty much like what your plate might look like after you've EATEN a lemon tart. #MKR,none
They still haven't churned their sorbet...... #mkr,none
Why would you serve this shit to Colin. Honestly. #MKR,none
Deconstructed is a synonym for smears of mess on a plate. #MKR,none
#MKR Drasco is actually spelt Drongo,none
Why not just make a tart? #MKR,none
#KillerBlondes? Food so shit it killed all the other contestants? #MKR,none
Oh well. Back to promo work #MKR #MKR2015,none
That Drasko guy is really starting to get on my tits #MKR #ShutUp,none
"I don't get it! Why deconstruct a tart, that's just weird  #MKR",none
"RT @SeaEph: Find out more about these losers? No thanks Colin....I'd rather have my other nut removed

#MKR",none
In what world would you not be disappointed with that? #MKR,none
My dog has vomited better meals than that #MKR,none
@itslola2u Turned #MKR on Qld time to see your Steve; first mins of 'promo girls' &amp; I've poked out my eyes.,none
Massimo Boturra is now crying bitter tears about their deconstructed lemon tart.  #mkr,none
"@slabdogs I think the tweet picker is struggling! 

#mkr",none
RT @Catherine_Sarah: THAT IS THE DESERT!!! oh gawd if they don't go home this game is so rigged #MKR2015 #MKR,none
Stop being so polite. What the fuck is that shit you're serving us ? #MKR,none
The only thing getting butchered is their modelling careers:)  #MKR,none
I will never understand the reasoning behind deconstructed desserts. Just make a lemon tart! #mkr,none
Colin is super hot #MKR,none
"Too funny! ""This crumb is not shortcrust - it's BISCUIT"" #gasp #MKR",none
That Queensland cunt in the hat reminds me of Brian Blessed if he was the most boring man on planet earth #mkr,none
My prediction for tonight is fail #mkr,none
"Hopefully Lynn and Tony will survive this round and see them have a second chance, the girls haven't shown us enough skill! #mkr",none
